province,regency_city,province_aliases,regency_city_aliases,lat,long
Sumatera Utara,Kabupaten Tapanuli Selatan,"Sumatera Utara, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Kabupaten Tapanuli Selatan, South Tapanuli Regency, South Tapanuli Regency, South Tapanuli Regency",1.5775,99.2786
Sumatera Utara,Kabupaten Tapanuli Tengah,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Central Tapanuli Regency, Central Tapanuli Regency, Central Tapanuli Regency, Central Tapanuli Regency",1.8493,98.7041
Sumatera Utara,Kabupaten Tapanuli Utara,"North Sumatra, Sumatera Utara, North Sumatra, North Sumatra, North Sumatra","North Tapanuli Regency, Kabupaten Tapanuli Utara, North Tapanuli Regency, North Tapanuli Regency, North Tapanuli Regency",2.0405,99.1013
Sumatera Utara,Kabupaten Toba,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Toba Regency, Toba Regency, Toba Regency, Toba Regency, Toba Regency",2.3502,99.2786
Sumatera Utara,Kota Binjai,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Binjai City, Binjai City, Binjai City, Binjai City, Binjai City",3.6135,98.5025
Sumatera Utara,Kota Gunungsitoli,"Sumatera Utara, North Sumatra, Sumatera Utara, Sumatera Utara, North Sumatra","Kota Gunungsitoli, Gunungsitoli City, Kota Gunungsitoli, Kota Gunungsitoli, Gunungsitoli City",1.2805,97.6147
Sumatera Utara,Kota Medan,"Sumatera Utara, Sumatera Utara, North Sumatra, North Sumatra, North Sumatra","Kota Medan, Kota Medan, Medan City, Medan City, Medan City",3.5952,98.6722
Sumatera Utara,Kota Padang Sidempuan,"North Sumatra, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Padang Sidempuan City, Padang Sidempuan City, Padang Sidempuan City, Padang Sidempuan City",1.3722,99.273
Sumatera Utara,Kota Pematang Siantar,"Sumatera Utara, North Sumatra, North Sumatra, North Sumatra, North Sumatra","Kota Pematang Siantar, Pematang Siantar City, Pematang Siantar City, Pematang Siantar City, Pematang Siantar City",2.97,99.0682
Sumatera Utara,Kota Sibolga,"Sumatera Utara, Sumatera Utara, North Sumatra, North Sumatra, North Sumatra","Kota Sibolga, Kota Sibolga, Sibolga City, Sibolga City, Sibolga City",1.7368,98.7851
Sumatera Utara,Kota Tanjung Balai,"North Sumatra, North Sumatra, Sumatera Utara, North Sumatra, North Sumatra","Tanjung Balai City, Tanjung Balai City, Kota Tanjung Balai, Tanjung Balai City, Tanjung Balai City",2.9662,99.7985
Sumatera Utara,Kota Tebing Tinggi,"North Sumatra, Sumatera Utara, Sumatera Utara, Sumatera Utara, Sumatera Utara","Tebing Tinggi City, Kota Tebing Tinggi, Kota Tebing Tinggi, Kota Tebing Tinggi, Kota Tebing Tinggi",3.3263,99.1567
Sumatera Barat,Kabupaten Agam,"Sumatera Barat, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Kabupaten Agam, Agam Regency, Agam Regency, Agam Regency, Agam Regency",-0.2209,100.1703
Sumatera Barat,Kabupaten Dharmasraya,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Dharmasraya Regency, Dharmasraya Regency, Dharmasraya Regency, Dharmasraya Regency, Dharmasraya Regency",-1.1121,101.6158
Sumatera Barat,Kabupaten Kepulauan Mentawai,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Mentawai Islands Regency, Mentawai Islands Regency, Mentawai Islands Regency, Mentawai Islands Regency, Mentawai Islands Regency",-1.426,98.9245
Sumatera Barat,Kabupaten Lima Puluh Kota,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Lima Puluh Kota Regency, Lima Puluh Kota Regency, Lima Puluh Kota Regency, Lima Puluh Kota Regency, Lima Puluh Kota Regency",0.0734,100.5296
Sumatera Barat,Kabupaten Padang Pariaman,"West Sumatra, Sumatera Barat, West Sumatra, West Sumatra, West Sumatra","Padang Pariaman Regency, Kabupaten Padang Pariaman, Padang Pariaman Regency, Padang Pariaman Regency, Padang Pariaman Regency",-0.5547,100.2152
Sumatera Barat,Kabupaten Pasaman,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Pasaman Regency, Pasaman Regency, Pasaman Regency, Pasaman Regency",0.2209,100.1703
Sumatera Barat,Kabupaten Pasaman Barat,"Sumatera Barat, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Kabupaten Pasaman Barat, West Pasaman Regency, West Pasaman Regency, West Pasaman Regency, West Pasaman Regency",0.2213,99.6341
Sumatera Barat,Kabupaten Pesisir Selatan,"Sumatera Barat, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Kabupaten Pesisir Selatan, South Pesisir Regency, South Pesisir Regency, South Pesisir Regency, South Pesisir Regency",-1.7223,100.8903
Sumatera Barat,Kabupaten Sijunjung,"Sumatera Barat, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Kabupaten Sijunjung, Sijunjung Regency, Sijunjung Regency, Sijunjung Regency, Sijunjung Regency",-0.6647,101.0712
Sumatera Barat,Kabupaten Solok,"Sumatera Barat, West Sumatra, Sumatera Barat, West Sumatra, West Sumatra","Kabupaten Solok, Solok Regency, Kabupaten Solok, Solok Regency, Solok Regency",-0.9644,100.8903
Sumatera Barat,Kabupaten Solok Selatan,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","South Solok Regency, South Solok Regency, South Solok Regency, South Solok Regency, South Solok Regency",-1.4157,101.2524
Sumatera Barat,Kabupaten Tanah Datar,"West Sumatra, West Sumatra, Sumatera Barat, West Sumatra, West Sumatra","Tanah Datar Regency, Tanah Datar Regency, Kabupaten Tanah Datar, Tanah Datar Regency, Tanah Datar Regency",-0.4797,100.5746
Sumatera Barat,Kota Bukittinggi,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Bukittinggi City, Bukittinggi City, Bukittinggi City, Bukittinggi City, Bukittinggi City",-0.3039,100.3835
Sumatera Barat,Kota Padang,"West Sumatra, West Sumatra, West Sumatra, West Sumatra, West Sumatra","Padang City, Padang City, Padang City, Padang City, Padang City",-0.9471,100.4172
